"Regularization","Score"
0.001,20626.7577355526
0.316473684210526,20450.2049972162
0.369052631578947,20452.6162243411
0.421631578947368,20454.4926646748
0.474210526315789,20455.8351400766
0.52678947368421,20456.8919082482
0.579368421052632,20457.6694080036
0.631947368421053,20458.2954124141
0.684526315789474,20458.8339322501
0.737105263157895,20459.2465018981
0.789684210526316,20459.5962071062
0.842263157894737,20459.8577631349
0.894842105263158,20460.0803969873
0.947421052631579,20460.2852799358
1,20460.440789202
0.003,20621.5657927423
0.0186315789473684,20528.2717411293
0.0342631578947368,20465.6012202893
0.0498947368421053,20438.167618377
0.0655263157894737,20428.5893301092
0.0811578947368421,20426.0444638332
0.0967894736842105,20426.5254995869
0.112421052631579,20428.5042612147
0.128052631578947,20430.6838343106
0.143684210526316,20433.0724437079
0.159315789473684,20435.3958581309
0.174947368421053,20437.5968022912
0.190578947368421,20439.5836155571
0.206210526315789,20441.433421882
0.221842105263158,20443.0694632598
0.237473684210526,20444.5701570626
0.253105263157895,20445.9656432933
0.268736842105263,20447.1317304397
0.284368421052632,20448.2317647295
0.3,20449.2503636085
